elections_candidate	elections_inperson_count	elections_electronic_count	elections_total_count	elections_inperson_percent	elections_electronic_percent	elections_total_percent	elections_aik
Баженов Тимофей Тимофеевич	36719	55803	92522	30.29	46.63	38.4	196
Вихарева Эльвира Владимировна	2852	2925	5777	2.35	2.44	2.4	196
Иванова Елена Ивановна	1340	1037	2377	1.11	0.87	0.99	196
Крюков Алексей Сергеевич	4637	5604	10241	3.82	4.68	4.25	196
Малинкович Сергей Александрович	3865	2835	6700	3.19	2.37	2.78	196
Миронова Виктория Александровна	5795	6888	12683	4.78	5.76	5.26	196
Рашкин Валерий Федорович	38357	20729	59086	31.64	17.32	24.53	196
Рвачев Алексей Сергеевич	4687	6958	11645	3.87	5.81	4.83	196
Стрельникова Елена Николаевна	2353	2360	4713	1.94	1.97	1.96	196
Тарасов Антон Александрович	2041	2755	4796	1.68	2.3	1.99	196
Федоров Георгий Владимирович	7812	7213	15025	6.44	6.03	6.24	196
Янков Кирилл Вадимович	4603	4572	9175	3.8	3.82	3.81	196
Александрович	4559	7150	11709	3.86	6.39	5.09	197
Глек Игорь Владимирович	1874	3599	5473	1.59	3.22	2.38	197
Гончаров Кирилл Алексеевич	6751	4897	11648	5.71	4.38	5.06	197
Горшкова Владислава Геннадиевна	2474	2962	5436	2.09	2.65	2.36	197
Лобанов Михаил Сергеевич	46129	26676	72805	39.03	23.86	31.65	197
Меньшиков Михаил Васильевич	1900	1704	3604	1.61	1.52	1.57	197
Митина Дарья Александровна	3818	2675	6493	3.23	2.39	2.82	197
Попов Евгений Георгиевич	34305	46589	80894	29.03	41.66	35.17	197
Раменский Павел Олегович	3742	6733	10475	3.17	6.02	4.55	197
Соболев Алексей Анатольевич	1935	1854	3789	1.64	1.66	1.65	197
Тарнавский Александр Георгиевич	6435	6986	13421	5.44	6.25	5.84	197
Андрианова Зоя Алексеевна	3289	6746	10035	2.76	5.61	4.19	198
Балабуткин Алексей Алексеевич	3988	3744	7732	3.34	3.11	3.23	198
Брюханова Анастасия Андреевна	32405	23359	55764	27.14	19.43	23.28	198
Власов Василий Максимович	4923	7320	12243	4.12	6.09	5.11	198
Голуенко Алиса Владимировна	1456	1912	3368	1.22	1.59	1.41	198
Звягинцев Петр Семенович	16116	11470	27586	13.5	9.54	11.51	198
Катаев Виктор Филиппович	3406	5352	8758	2.85	4.45	3.66	198
Литвинович Марина Алексеевна	9757	8513	18270	8.17	7.08	7.63	198
